Rec_ID,GeneID,Colour,Cell_Cycle_Cat,Cell_Cycle_Number,Gene_Induction,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,description,type_of_gene,Other_designations,Class
1848,100075658,Red,21-28,23,1,THUMPD3,-,-,Ensembl:ENSOANG00000014481,X1,THUMP domain containing 3,protein-coding,THUMP domain-containing protein 3,Animal
1849,100075659,Red,21-28,28,1,KISS1R,-,-,Ensembl:ENSOANG00000042326,X1,KISS1 receptor,protein-coding,kiSS-1 receptor,Animal
1850,100075660,Red,21-28,27,1,GPR173,-,-,Ensembl:ENSOANG00000038762,6,G protein-coupled receptor 173,protein-coding,probable G-protein coupled receptor 173,Animal
1851,100075661,Red,13-20,20,1,DCP2,-,-,Ensembl:ENSOANG00000011141,X5,decapping mRNA 2,protein-coding,m7GpppN-mRNA hydrolase|DCP2 decapping enzyme homolog,Animal
1852,100075663,Yellow,13-20,17,1,SMYD4,-,-,Ensembl:ENSOANG00000010879,17,SET and MYND domain containing 4,protein-coding,SET and MYND domain-containing protein 4,Animal
1853,100075664,Green,21-28,27,1,LOC100075664,-,DRAM1,-,14,DNA damage-regulated autophagy modulator protein 1,protein-coding,DNA damage-regulated autophagy modulator protein 1|DNA-damage regulated autophagy modulator 1,Animal
1854,100075665,Red,5-12,6,1,LOC100075665,-,GNAI1,Ensembl:ENSOANG00000003489,13,guanine nucleotide-binding protein G(i) subunit alpha-1,protein-coding,"LOW QUALITY PROTEIN: guanine nucleotide-binding protein G(i) subunit alpha-1|G protein subunit alpha i1|guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1",Animal
1855,100075666,Red,21-28,23,1,STAU1,-,-,Ensembl:ENSOANG00000006394,8,staufen double-stranded RNA binding protein 1,protein-coding,double-stranded RNA-binding protein Staufen homolog 1,Animal
1856,100075667,Red,21-28,23,1,CALB2,-,-,Ensembl:ENSOANG00000001170,11,calbindin 2,protein-coding,calretinin,Animal
1857,100075668,Yellow,21-28,24,1,TRERF1,-,-,Ensembl:ENSOANG00000008467,19,transcriptional regulating factor 1,protein-coding,transcriptional-regulating factor 1,Animal
1858,100075669,Yellow,13-20,19,1,SCML2,-,-,Ensembl:ENSOANG00000010511,15,Scm polycomb group protein like 2,protein-coding,LOW QUALITY PROTEIN: sex comb on midleg-like protein 2|sex comb on midleg like 2|sex comb on midleg-like protein 2|sex comb on midleg-like protein 4,Animal
1859,100075670,Yellow,13-20,20,0,SOX30,-,-,Ensembl:ENSOANG00000048847,X1,SRY-box transcription factor 30,protein-coding,transcription factor SOX-30|SRY (sex determining region Y)-box 30|SRY-box 30,Animal
1860,100075672,Yellow,21-28,27,1,LOC100075672,-,CPA2,Ensembl:ENSOANG00000011465,10,carboxypeptidase A2,protein-coding,carboxypeptidase A2|carboxypeptidase A2 (pancreatic),Animal
1861,100075674,Yellow,21-28,28,1,MINDY3,-,FAM188A,Ensembl:ENSOANG00000004433,13,MINDY lysine 48 deubiquitinase 3,protein-coding,LOW QUALITY PROTEIN: ubiquitin carboxyl-terminal hydrolase MINDY-3|family with sequence similarity 188 member A,Animal
1862,100075676,Red,5-12,8,0,ABL1,-,-,Ensembl:ENSOANG00000001046,4,"ABL proto-oncogene 1, non-receptor tyrosine kinase",protein-coding,"tyrosine-protein kinase ABL1|c-abl oncogene 1, non-receptor tyrosine kinase",Animal
1863,100075677,Red,21-28,21,1,ENY2,-,-,Ensembl:ENSOANG00000008097,4,ENY2 transcription and export complex 2 subunit,protein-coding,transcription and mRNA export factor ENY2|enhancer of yellow 2 transcription factor homolog,Animal
1864,100075682,Red,21-28,23,1,RAB30,-,-,-,20,"RAB30, member RAS oncogene family",protein-coding,LOW QUALITY PROTEIN: ras-related protein Rab-30,Animal
1865,100075683,Red,21-28,25,0,MIF4GD,-,-,Ensembl:ENSOANG00000008325,Un,MIF4G domain containing,protein-coding,MIF4G domain-containing protein,Animal
1866,100075689,Green,13-20,20,1,TNKS2,-,-,Ensembl:ENSOANG00000000256,3,tankyrase 2,protein-coding,"poly [ADP-ribose] polymerase tankyrase-2|tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2",Animal
1867,100075691,Yellow,21-28,21,0,UNC119,-,-,-,17,unc-119 lipid binding chaperone,protein-coding,protein unc-119 homolog A|unc-119 homolog,Animal
1868,100075693,Yellow,21-28,26,1,ARID3A,-,-,Ensembl:ENSOANG00000012252,X1,AT-rich interaction domain 3A,protein-coding,AT-rich interactive domain-containing protein 3A|AT rich interactive domain 3A (BRIGHT-like),Animal
1869,100075694,Green,13-20,13,1,CLOCK,-,-,Ensembl:ENSOANG00000003801,12,clock circadian regulator,protein-coding,circadian locomoter output cycles protein kaput,Animal
1870,100075695,Yellow,21-28,26,1,PPP1R3F,-,-,-,6,protein phosphatase 1 regulatory subunit 3F,protein-coding,LOW QUALITY PROTEIN: protein phosphatase 1 regulatory subunit 3F,Animal
1871,100075696,Red,21-28,27,0,KCNK16,-,-,Ensembl:ENSOANG00000013159,19,potassium two pore domain channel subfamily K member 16,protein-coding,potassium channel subfamily K member 16,Animal
1872,100075697,Red,13-20,19,1,LKAAEAR1,-,-,Ensembl:ENSOANG00000046150,8,LKAAEAR motif containing 1,protein-coding,protein LKAAEAR1,Animal
1873,100075699,Red,21-28,26,1,ZNF423,-,-,Ensembl:ENSOANG00000000584,11,zinc finger protein 423,protein-coding,zinc finger protein 423,Animal
1874,100075700,Green,13-20,13,0,LOC100075700,-,-,-,4,carbonic anhydrase 13,protein-coding,carbonic anhydrase 13,Animal
1875,100075701,Yellow,13-20,17,1,SERPINF1,-,-,Ensembl:ENSOANG00000010878,17,serpin family F member 1,protein-coding,"pigment epithelium-derived factor|serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1",Animal
1876,100075702,Yellow,13-20,20,1,LOC100075702,-,-,Ensembl:ENSOANG00000002218,4,neural-cadherin-like,protein-coding,neural-cadherin-like,Animal
1877,100075703,Red,13-20,18,1,B4GALT1,-,-,Ensembl:ENSOANG00000039932,X5,"beta-1,4-galactosyltransferase 1",protein-coding,"beta-1,4-galactosyltransferase 1|UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1",Animal
1878,100075704,Green,13-20,19,1,LOC100075704,-,RARB,-,8,retinoic acid receptor beta,protein-coding,retinoic acid receptor beta,Animal
1879,100075705,Yellow,21-28,24,1,PCDHB1,-,-,-,X2,protocadherin beta 1,protein-coding,LOW QUALITY PROTEIN: protocadherin beta-1,Animal
1880,100075706,Red,21-28,21,1,UTP25,-,DIEXF,Ensembl:ENSOANG00000008470,19,UTP25 small subunit processor component,protein-coding,digestive organ expansion factor homolog,Animal
1881,100075708,Yellow,13-20,18,1,LOC100075708,-,-,-,X1,histone-lysine N-methyltransferase SETMAR,protein-coding,histone-lysine N-methyltransferase SETMAR,Animal
1882,100075709,Green,21-28,27,1,GRAMD2B,-,GRAMD3,Ensembl:ENSOANG00000014072,X5,GRAM domain containing 2B,protein-coding,GRAM domain-containing protein 2B|GRAM domain containing 3,Animal
1883,100075710,Yellow,13-20,20,1,FOXN3,-,-,Ensembl:ENSOANG00000003851,1,forkhead box N3,protein-coding,forkhead box protein N3,Animal
1884,100075711,Red,13-20,14,1,CEP41,-,-,Ensembl:ENSOANG00000011470,10,centrosomal protein 41,protein-coding,centrosomal protein of 41 kDa|centrosomal protein 41kDa,Animal
1885,100075712,Yellow,13-20,19,1,NETO2,-,-,Ensembl:ENSOANG00000002160,11,neuropilin and tolloid like 2,protein-coding,neuropilin and tolloid-like protein 2|neuropilin (NRP) and tolloid (TLL)-like 2,Animal
1886,100075713,Red,13-20,20,1,ARL5B,-,-,Ensembl:ENSOANG00000005704,13,ADP ribosylation factor like GTPase 5B,protein-coding,ADP-ribosylation factor-like protein 5B|ADP-ribosylation factor-like 5B,Animal
1887,100075714,Green,13-20,19,1,EIF5B,-,-,Ensembl:ENSOANG00000004621,20,eukaryotic translation initiation factor 5B,protein-coding,eukaryotic translation initiation factor 5B,Animal
1888,100075715,Yellow,13-20,13,1,VCL,-,-,Ensembl:ENSOANG00000010411,3,vinculin,protein-coding,vinculin,Animal
1889,100075716,Yellow,13-20,16,1,EXOSC2,-,-,Ensembl:ENSOANG00000001044,4,exosome component 2,protein-coding,exosome complex component RRP4,Animal
1890,100075718,Yellow,5-12,11,1,TNFRSF25,-,-,Ensembl:ENSOANG00000008580,5,TNF receptor superfamily member 25,protein-coding,"tumor necrosis factor receptor superfamily member 25|tumor necrosis factor receptor superfamily, member 25",Animal
1891,100075719,Yellow,13-20,15,1,SLC25A19,-,-,Ensembl:ENSOANG00000008326,Un,solute carrier family 25 member 19,protein-coding,"mitochondrial thiamine pyrophosphate carrier|solute carrier family 25 (mitochondrial thiamine pyrophosphate carrier), member 19",Animal
1892,100075721,Yellow,13-20,15,1,PURA,-,-,Ensembl:ENSOANG00000043768,X2,purine rich element binding protein A,protein-coding,transcriptional activator protein Pur-alpha,Animal
1893,100075722,Yellow,13-20,15,1,DENND1A,-,-,Ensembl:ENSOANG00000045046,4,DENN domain containing 1A,protein-coding,DENN domain-containing protein 1A,Animal
1894,100075723,Yellow,5-12,8,1,ACSS1,-,-,Ensembl:ENSOANG00000003805,9,acyl-CoA synthetase short chain family member 1,protein-coding,"acetyl-coenzyme A synthetase 2-like, mitochondrial",Animal
1895,100075725,Yellow,13-20,16,1,PIGS,-,-,Ensembl:ENSOANG00000014181,17,phosphatidylinositol glycan anchor biosynthesis class S,protein-coding,GPI transamidase component PIG-S,Animal
1896,100075726,Yellow,21-28,23,1,EFCAB9,-,-,Ensembl:ENSOANG00000039699,X1,EF-hand calcium binding domain 9,protein-coding,EF-hand calcium-binding domain-containing protein 9,Animal
1897,100075727,Yellow,21-28,21,1,TMED2,-,-,Ensembl:ENSOANG00000041285,2,transmembrane p24 trafficking protein 2,protein-coding,transmembrane emp24 domain-containing protein 2|transmembrane emp24 domain trafficking protein 2,Animal
1898,100075730,Red,21-28,22,1,MTCL1,-,CCDC165,Ensembl:ENSOANG00000015008,5,microtubule crosslinking factor 1,protein-coding,microtubule cross-linking factor 1|SOGA family member 2|coiled-coil domain containing 165|protein SOGA2,Animal
1899,100075731,Yellow,21-28,28,1,MPP7,-,-,Ensembl:ENSOANG00000006040,13,membrane palmitoylated protein 7,protein-coding,"MAGUK p55 subfamily member 7|membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7)",Animal
1900,100075732,Yellow,21-28,26,1,LSM3,-,-,Ensembl:ENSOANG00000012273,X1,"LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated",protein-coding,"U6 snRNA-associated Sm-like protein LSm3|LSM3 homolog, U6 small nuclear RNA associated",Animal
1901,100075734,Red,13-20,18,1,SERPINF2,-,-,Ensembl:ENSOANG00000010877,17,serpin family F member 2,protein-coding,"alpha-2-antiplasmin|serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 2",Animal
1902,100075737,Yellow,21-28,23,1,INTS8,-,-,Ensembl:ENSOANG00000002217,4,integrator complex subunit 8,protein-coding,integrator complex subunit 8,Animal
1903,100075739,Red,13-20,14,1,NTNG1,-,-,Ensembl:ENSOANG00000001034,4,netrin G1,protein-coding,netrin-G1,Animal
1904,100075740,Red,21-28,22,1,TOP2B,-,-,Ensembl:ENSOANG00000012235,8,DNA topoisomerase II beta,protein-coding,DNA topoisomerase 2-beta|topoisomerase (DNA) II beta 180kDa,Animal
1905,100075741,Yellow,21-28,24,1,SEPTIN11,-,Sep-11,Ensembl:ENSOANG00000013643,10,septin 11,protein-coding,septin-11,Animal
1906,100075742,Yellow,5-12,11,1,HSBP1,-,-,-,11,heat shock factor binding protein 1,protein-coding,heat shock factor-binding protein 1,Animal
1907,100075743,Yellow,13-20,19,1,LOC100075743,-,-,-,X2,protocadherin beta-3-like,protein-coding,protocadherin beta-3-like,Animal
1908,100075744,Red,21-28,24,1,GOT2,-,-,Ensembl:ENSOANG00000021389,11,glutamic-oxaloacetic transaminase 2,protein-coding,"aspartate aminotransferase, mitochondrial|glutamic-oxaloacetic transaminase 2, mitochondrial",Animal
1909,100075745,Yellow,21-28,28,1,NAIF1,-,-,Ensembl:ENSOANG00000051175,4,nuclear apoptosis inducing factor 1,protein-coding,nuclear apoptosis-inducing factor 1,Animal
1910,100075746,Yellow,5-12,10,1,SERTAD4,-,-,Ensembl:ENSOANG00000008472,19,SERTA domain containing 4,protein-coding,SERTA domain-containing protein 4,Animal
1911,100075747,Red,13-20,13,1,GLMN,-,-,Ensembl:ENSOANG00000013370,4,"glomulin, FKBP associated protein",protein-coding,glomulin,Animal
1912,100075748,Red,13-20,19,0,ADAM19,-,-,Ensembl:ENSOANG00000005077,X1,ADAM metallopeptidase domain 19,protein-coding,disintegrin and metalloproteinase domain-containing protein 19,Animal
1913,100075749,Yellow,21-28,22,1,ITPR1,-,-,Ensembl:ENSOANG00000003765,X1,"inositol 1,4,5-trisphosphate receptor type 1",protein-coding,"inositol 1,4,5-trisphosphate receptor type 1",Animal
1914,100075750,Red,21-28,24,1,FST,-,-,Ensembl:ENSOANG00000011201,1,follistatin,protein-coding,follistatin,Animal
1915,100075751,Red,21-28,23,1,MEST,-,-,Ensembl:ENSOANG00000011469,10,mesoderm specific transcript,protein-coding,mesoderm-specific transcript homolog protein,Animal
1916,100075752,Yellow,21-28,28,1,BMI1,-,-,Ensembl:ENSOANG00000043686,13,"BMI1 proto-oncogene, polycomb ring finger",protein-coding,polycomb complex protein BMI-1|BMI1 polycomb ring finger oncogene,Animal
1917,100075753,Yellow,21-28,28,0,SPPL2A,-,-,Ensembl:ENSOANG00000008684,5,signal peptide peptidase like 2A,protein-coding,signal peptide peptidase-like 2A,Animal
1918,100075754,Yellow,13-20,18,1,FUCA2,-,-,Ensembl:ENSOANG00000007663,2,alpha-L-fucosidase 2,protein-coding,"plasma alpha-L-fucosidase|fucosidase, alpha-L- 2, plasma",Animal
1919,100075755,Yellow,5-12,7,0,HDDC2,-,-,Ensembl:ENSOANG00000020120,2,HD domain containing 2,protein-coding,HD domain-containing protein 2,Animal
1920,100075756,Red,21-28,27,1,PPFIA1,-,-,Ensembl:ENSOANG00000007409,3,PTPRF interacting protein alpha 1,protein-coding,"liprin-alpha-1|protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1",Animal
1921,100075757,Red,21-28,24,1,FGF10,-,-,Ensembl:ENSOANG00000042795,3,fibroblast growth factor 10,protein-coding,fibroblast growth factor 10,Animal
1922,100075758,Red,21-28,22,1,WDFY4,-,-,Ensembl:ENSOANG00000015749,3,WDFY family member 4,protein-coding,WD repeat- and FYVE domain-containing protein 4,Animal
1923,100075759,Yellow,21-28,26,1,KAZN,-,-,-,5,"kazrin, periplakin interacting protein",protein-coding,kazrin,Animal
1924,100075760,Yellow,21-28,21,1,MAGT1,-,-,Ensembl:ENSOANG00000002394,6,magnesium transporter 1,protein-coding,magnesium transporter protein 1,Animal
1925,100075762,Red,21-28,25,1,LOC100075762,-,-,-,7,chitotriosidase-1-like,pseudo,-,Animal
1926,100075763,Red,5-12,7,1,ESPN,-,-,-,5,espin,protein-coding,espin,Animal
1927,100075766,Yellow,13-20,13,1,FSD1,-,-,Ensembl:ENSOANG00000006431,X2,fibronectin type III and SPRY domain containing 1,protein-coding,fibronectin type III and SPRY domain-containing protein 1,Animal
1928,100075769,Yellow,13-20,19,1,DNASE2,-,-,-,X2,"deoxyribonuclease 2, lysosomal",protein-coding,deoxyribonuclease-2-alpha,Animal
1929,100075770,Red,13-20,17,0,TMEM121B,-,-,-,X4,transmembrane protein 121B,protein-coding,transmembrane protein 121B,Animal
1930,100075773,Yellow,21-28,24,1,LOC100075773,-,PRDM7,Ensembl:ENSOANG00000014846,X5,histone-lysine N-methyltransferase PRDM9,protein-coding,histone-lysine N-methyltransferase PRDM9|PR/SET domain 7|probable histone-lysine N-methyltransferase PRDM7,Animal
1931,100075775,Red,13-20,17,1,TBC1D5,-,-,Ensembl:ENSOANG00000004993,8,TBC1 domain family member 5,protein-coding,TBC1 domain family member 5,Animal
1932,100075776,Yellow,13-20,20,1,PTPRM,-,-,Ensembl:ENSOANG00000002405,5,protein tyrosine phosphatase receptor type M,protein-coding,receptor-type tyrosine-protein phosphatase mu,Animal
1933,100075777,Red,13-20,16,1,WAC,-,-,Ensembl:ENSOANG00000006041,13,WW domain containing adaptor with coiled-coil,protein-coding,WW domain-containing adapter protein with coiled-coil,Animal
1934,100075779,Red,13-20,18,1,KCNK17,-,-,Ensembl:ENSOANG00000049604,19,potassium two pore domain channel subfamily K member 17,protein-coding,potassium channel subfamily K member 17,Animal
1935,100075780,Yellow,21-28,23,1,MFSD1,-,-,Ensembl:ENSOANG00000008987,1,major facilitator superfamily domain containing 1,protein-coding,major facilitator superfamily domain-containing protein 1,Animal
1936,100075781,Red,13-20,20,1,YAE1,-,YAE1D1,Ensembl:ENSOANG00000009446,4,YAE1 maturation factor of ABCE1,protein-coding,"protein YAE1 homolog|YAE1, ABCE1 maturation factor|Yae1 domain containing 1",Animal
1937,100075782,Yellow,13-20,13,1,BMPER,-,-,-,21,BMP binding endothelial regulator,protein-coding,BMP-binding endothelial regulator protein,Animal
1938,100075783,Yellow,5-12,11,1,NUP37,-,-,Ensembl:ENSOANG00000005569,14,nucleoporin 37,protein-coding,nucleoporin Nup37,Animal
1939,100075784,Red,21-28,21,1,CCNE2,-,-,Ensembl:ENSOANG00000043394,4,cyclin E2,protein-coding,G1/S-specific cyclin-E2,Animal
1940,100075786,Yellow,21-28,21,1,NGLY1,-,-,Ensembl:ENSOANG00000012234,8,N-glycanase 1,protein-coding,peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase,Animal
1941,100075788,Yellow,13-20,15,1,KCNB1,-,-,Ensembl:ENSOANG00000044225,8,potassium voltage-gated channel subfamily B member 1,protein-coding,"potassium voltage-gated channel subfamily B member 1|potassium voltage-gated channel, Shab-related subfamily, member 1",Animal
1942,100075789,Red,13-20,14,0,COTL1,-,-,Ensembl:ENSOANG00000011343,11,coactosin like F-actin binding protein 1,protein-coding,coactosin-like protein,Animal
1943,100075790,Yellow,21-28,25,1,LOC100075790,-,-,-,X2,protocadherin beta-14-like,protein-coding,protocadherin beta-14-like,Animal
1944,100075791,Red,21-28,25,1,TGFBI,-,-,Ensembl:ENSOANG00000022501,X1,transforming growth factor beta induced,protein-coding,"transforming growth factor-beta-induced protein ig-h3|transforming growth factor, beta-induced, 68kDa",Animal
1945,100075792,Yellow,21-28,25,1,KCNH1,-,-,Ensembl:ENSOANG00000008475,19,potassium voltage-gated channel subfamily H member 1,protein-coding,"potassium voltage-gated channel subfamily H member 1|potassium voltage-gated channel, subfamily H (eag-related), member 1",Animal
1946,100075794,Red,21-28,26,1,TTC8,-,-,Ensembl:ENSOANG00000011038,1,tetratricopeptide repeat domain 8,protein-coding,tetratricopeptide repeat protein 8,Animal
1947,100075795,Red,5-12,8,1,COPG2,-,-,Ensembl:ENSOANG00000011471,10,COPI coat complex subunit gamma 2,protein-coding,coatomer subunit gamma-2|coatomer protein complex subunit gamma 2,Animal
1948,100075797,Yellow,21-28,22,0,ARMC3,-,-,Ensembl:ENSOANG00000005694,13,armadillo repeat containing 3,protein-coding,armadillo repeat-containing protein 3,Animal
1949,100075798,Red,13-20,20,1,PEX3,-,-,Ensembl:ENSOANG00000007664,2,peroxisomal biogenesis factor 3,protein-coding,peroxisomal biogenesis factor 3,Animal
1950,100075799,Red,13-20,20,1,REV1,-,-,Ensembl:ENSOANG00000004622,20,REV1 DNA directed polymerase,protein-coding,"DNA repair protein REV1|REV1 homolog|REV1, polymerase (DNA directed)",Animal
1951,100075800,Red,5-12,11,1,CTTN,-,-,Ensembl:ENSOANG00000007408,3,cortactin,protein-coding,src substrate cortactin,Animal
1952,100075801,Green,21-28,22,1,PKHD1L1,-,-,Ensembl:ENSOANG00000008098,4,PKHD1 like 1,protein-coding,LOW QUALITY PROTEIN: fibrocystin-L|polycystic kidney and hepatic disease 1 (autosomal recessive)-like 1,Animal
1953,100075802,Yellow,21-28,21,1,ATP7A,-,-,Ensembl:ENSOANG00000002396,6,ATPase copper transporting alpha,protein-coding,"copper-transporting ATPase 1|ATPase, Cu++ transporting, alpha polypeptide",Animal
1954,100075804,Yellow,13-20,20,1,STAP2,-,-,-,X2,signal transducing adaptor family member 2,protein-coding,signal-transducing adaptor protein 2,Animal
1955,100075805,Yellow,13-20,17,1,TMEM97,-,-,-,17,transmembrane protein 97,protein-coding,sigma intracellular receptor 2,Animal
1956,100075806,Yellow,21-28,25,1,GRB2,-,-,Ensembl:ENSOANG00000008328,Un,growth factor receptor bound protein 2,protein-coding,growth factor receptor-bound protein 2,Animal
1957,100075807,Green,13-20,17,1,TOB2,-,-,-,14,"transducer of ERBB2, 2",protein-coding,LOW QUALITY PROTEIN: protein Tob2,Animal
1958,100075809,Green,21-28,25,1,IL17RA,-,-,-,X4,interleukin 17 receptor A,protein-coding,interleukin-17 receptor A,Animal
